Date,Boat,Sighting_Number,Species,Island_area,Sighting_Cue,Sea_Conditions,Start.time,latitude,longitud,Start.depth,End.time,Encounter.duration,Group.size..min.,Group.size..best.,Group.size..max.,datetimeHST,datetimeUTC,month,year,datetime_pdt
13-Dec-09,Wild Whale,4,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,10:38,19.29238,-155.97231,2210,10:41,0.04,3,3,3,12/13/09,12/13/09 10:00,12,2009,12/13/09 10:00
13-Dec-09,Wild Whale,6,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,12:21,19.3364,-156.02663,2407,12:51,0.5,1,1,1,12/13/09,12/13/09 10:00,12,2009,12/13/09 10:00
21-Dec-09,Wild Whale,2,Blainville's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,9:40,20.00282,-156.06921,737,9:42,0.03,3,3,4,12/21/09,12/21/09 10:00,12,2009,12/21/09 10:00
8-Apr-10,Wild Whale,2,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,11:57,19.74253,-156.15341,2292,11:58,0.01,1,1,1,4/8/10,4/8/10 10:00,4,2010,4/8/10 10:00
19-Apr-10,Wild Whale,1,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,12:01,19.62256,-156.08896,1943,12:17,0.26,1,1,1,4/19/10,4/19/10 10:00,4,2010,4/19/10 10:00
27-Jul-10,Wild Whale,2,Blainville's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,10:01,19.84735,-156.10794,360,11:22,1.35,4,4,4,7/27/10,7/27/10 10:00,8,2010,7/27/10 10:00
8-Aug-10,Wild Whale,2,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,11:22,19.64564,-156.075,1755,12:28,1.1,2,2,2,8/8/10,8/8/10 10:00,8,2010,8/8/10 10:00
8-Aug-10,Wild Whale,3,Blainville's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,13:06,19.54814,-156.03957,1600,14:11,1.08,3,4,5,8/8/10,8/8/10 10:00,8,2010,8/8/10 10:00
19-Aug-10,Wild Whale,4,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,11:19,19.74888,-156.11961,1490,13:16,1.95,1,1,1,8/19/10,8/19/10 10:00,8,2010,8/19/10 10:00
7-Dec-10,Wild Whale,2,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,9:41,19.38576,-156.00955,1900,10:46,1.08,3,3,3,12/7/10,12/7/10 10:00,12,2010,12/7/10 10:00
9-May-11,Wild Whale,1,Blainville's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,12:48,19.77095,-156.11111,806,13:29,0.68,3,3,3,5/9/11,5/9/11 10:00,5,2011,5/9/11 10:00
16-Aug-11,Black Whale,1,Blainville's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,8:58,19.63584,-156.09071,1790,9:58,1,1,1,1,8/16/11,8/16/11 10:00,8,2011,8/16/11 10:00
